STT,SO_DANG_KY,TEN_THUOC,"MA_HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Số đăng ký)",MA_DUONG_DUNG,DUONG_DUNG,HAM_LUONG,DONG_GOI,HANG_SX,NUOC_SX
113,VD-22295-15,Gymenyl,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,Metronidazol ; Cloramphenicol; Dexamethason acetat; Nystatin,4.01,Đặt âm đạo,"200mg; 80mg; 0,5mg; 100000 IU",Hộp 1 vỉ x 10 viên; hộp 1 vỉ x 12 viên,Công ty cổ phần SPM,Việt Nam
114,VD-19954-13,Thyfacin,40.396,Thymosin alpha I,Thymosin alpha 1,2.10,Tiêm,"1,6mg",Hộp 2 lọ bột + 2 ống nước cất pha tiêm 1ml,Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.,Việt Nam
115,VN-10075-10,Zadaxin,40.396,Thymosin alpha I,Thymosin Alpha 1,2.10,Tiêm,"1,6mg",Hộp 2 lọ bột + 2 lọ nước pha tiêm 1ml,Patheon Italia SPA,Italy
116,VN-8053-09,Zadaxin,40.396,Thymosin alpha I,Thymosin Alpha 1,2.10,Tiêm,1mg,"Hộp 2 lọ 1,6mg và 2 lọ nước pha tiêm 1ml",Patheon Italia SPA,Italy
117,VD-27085-17,Phastarxin,40.396,Thymosin alpha I,"Thymosin alpha 1 1,6mg",2.02; 2.01; 2.04,Tiêm dưới da; Tiêm bắp; Tiêm tĩnh mạch,"1,6mg",Hộp 2 lọ + 2 ống nước cất pha tiêm,Công ty cổ phần dược phẩm Trung ương 1 - Pharbaco.,Việt Nam
118,VD-7916-09,Micbibleucin,40.413,Cloramphenicol + Xanh methylen,"Cloramphenicol, xanh methylen",1.01,Uống,125mg; 20mg,Hộp 10 vỉ x 10 viên nén bao đường,Công ty cổ phần dược phẩm Bidiphar 1,Việt Nam
119,VD-24394-16,Micbibleucin,40.413,Cloramphenicol + Xanh methylen,Chloramphenicol ; Xanh methylen,1.01,Uống,125mg; 20mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần Dược-TTBYT Bình Định,Việt Nam
120,VD-22627-15,Domitazol,40.417,Malva purpurea + camphomonobromid + xanh methylen,Bột hạt malva; Xanh methylen; Camphor monobromid,1.01,Uống,250mg;  25mg;  20mg,Hộp 5 vỉ x 10 viên; chai 1000 viên,Công ty cổ phần xuất nhập khẩu y tế Domesco,Việt Nam
121,VD-21040-14,Multiferro,40.437,Sắt sulfat + folic acid + kẽm sulfat,"Sắt (II) sulfat khan (tương đương 27,63 mg sắt nguyên tố); Kẽm sulfat monohydrat; Acid Folic",1.01,Uống,"75 mg; 30,9 mg; 0,25 mg",Hộp 5 vỉ x 10 viên,Công ty Liên doanh Meyer - BPC.,Việt Nam
122,VN-6342-08,Nikoran IV 2,40.480,Nicorandil,Nicorandil,2.10,Tiêm,2mg,Hộp 1lọ 10ml,Torrent Pharmaceuticals Ltd.,India
123,VN-8308-09,Atepadene 30mg,40.482,Adenosin triphosphat,Adenosine triphosphate disodium,1.01,Uống,30mg,Hộp 3 vỉ x 10 viên,Laboratoires Mayoly Spindler,France
124,VN-9955-10,Etexatri Tablet,40.482,Adenosin triphosphat,Adenosine triphosphate disodium,1.01,Uống,"21,96mg",Hộp 10 vỉ x 10 viên,Etex Pharm Inc.,Korea
125,VD-27208-17,ATP,40.482,"Adenosin triphosphat
",Dinatri adenosin triphosphat 20mg,1.01,Uống,20mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần dược TW Mediplantex,Việt Nam
126,VD-13001-10,Nikepha,40.536,Nikethamid,Nikethamide,2.10,Tiêm,250mg,Hộp 5 ống x 1ml dung dịch tiêm; Hộp 2 vỉ x 5 ống 1ml dung dịch tiêm; hộp 1 vỉ x 6 ống 1ml dung dịch tiêm; hộp 2 vỉ x 6 ống 1ml dung dịch tiêm.,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam
127,VD-23171-15,Nikethamide Kabi 25%,40.536,Nikethamid,Nikethamid,2.10,Tiêm,250mg/1ml,Hộp 5 ống x 1ml,Công ty Cổ phần Fresenius Kabi Bidiphar,Việt Nam
128,VN-16054-12,Nikethamide injection,40.536,Nikethamid,Nikethamide,2.10,Tiêm,250mg/ml,Hộp 10 ống x 1ml,"Siu Guan Chem Ind Co., Ltd.",Taiwan
129,VD-10616-10,Nikethamide,40.536,Nikethamid,Nikethamide,2.10,Tiêm,20mg,Hộp 5 ống x 1ml dung dịch tiêm,Công ty cổ phần Fresenius Kabi Bidiphar,Việt Nam
130,VD-11614-10,pms-Lipisans 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm IMEXPHARM,Việt Nam
131,VD-11644-10,Fenofib 200,40.553,Fenofibrat,"Fenofibrat (dưới dạng vi hạt chứa 66% Fenofibrat 303,03 mg)",1.01,Uống,200mg,"Hộp 7 vỉ x 4 viên, hộp 4 vỉ x 7 viên nang",Công ty cổ phần Dược phẩm OPV,Việt Nam
132,VD-12315-10,Opfibrat,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên nén bao phim,Công ty Cổ phần Dược phẩm OPC..,Việt Nam
133,VD-12327-10,Fenofib 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 5 vỉ x 4 viên nang; hộp 7 vỉ x 4 viên nang,Công ty cổ phần Dược phẩm OPV,Việt Nam
134,VD-12897-10,Ocefib 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần Dược phẩm OPV,Việt Nam
135,VD-13052-10,Lifibrat 200,40.553,Fenofibrat,Fenofibrate (dạng micronised),1.01,Uống,200mg,"Hộp 10 vỉ x 10 viên, hộp 3 vỉ x 10 viên nang",Công ty cổ phần hoá dược phẩm Mekophar,Việt Nam
136,VD-13053-10,Lifibrat 300,40.553,Fenofibrat,Fenofibrate,1.01,Uống,300mg,"Hộp 10 vỉ x 10 viên, hộp 3 vỉ x 10 viên nang",Công ty cổ phần hoá dược phẩm Mekophar,Việt Nam
137,VD-13318-10,Lipagim 160,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,"hộp 3 vỉ x 10 viên, chai 30 viên nén bao phim",Công ty cổ phần dược phẩm Agimexpharm,Việt Nam
138,VD-13319-10,Lipagim 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,"hộp 3 vỉ, 10 vỉ x 10 viên nang",Công ty cổ phần dược phẩm Agimexpharm,Việt Nam
139,VD-13325-10,Ampharin,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,"Hộp 1 vỉ, 3 vỉ x 10 viên nang cứng",Công ty cổ phần dược phẩm Ampharco U.S.A,Việt Nam
140,VD-13494-10,SaViFibrat 200M,40.553,Fenofibrat,Fenofibrat (dạng micronised),1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
141,VD-13638-10,Fenostad 200,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang cứng,Công ty liên doanh TNHH Stada Việt Nam,Việt Nam
142,VD-13836-11,Fenofib 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,"Hộp 5 vỉ x 4 viên, hộp 5 vỉ x 6 viên, hộp 4 vỉ x 7 viên nang",Công ty cổ phần Dược phẩm OPV,Việt Nam
143,VD-13981-11,Finabrat 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 12 vỉ x 4 viên nang cứng,Công ty cổ phần Pymepharco,Việt Nam
144,VD-14048-11,Fenbrat 200M,40.553,Fenofibrat,Fenofibrat (micronised),1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang,Công ty TNHH một thành viên dược phẩm và sinh học y tế,Việt Nam
145,VD-14387-11,Fenofibrat SaVi 100M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
146,VD-14388-11,Fenofibrat SaVi 200M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
147,VD-14392-11,SaViFibrat 100M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
148,VD-14516-11,Finabrat 300,40.553,Fenofibrat,Fenofibrate,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nang cứng,Công ty cổ phần Pymepharco,Việt Nam
149,VD-14528-11,Fenofibrat 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 5 vỉ x 10 viên nang,Công ty Cổ phần Thương mại Dược phẩm Quang Minh,Việt Nam
150,VD-14669-11,Lipagim 200,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,"Hộp 2 vỉ, 3 vỉ x 10 viên nang",Công ty cổ phần dược phẩm Agimexpharm,Việt Nam
151,VD-14734-11,pms- Lipisans 200,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm IMEXPHARM,Việt Nam
152,VD-14838-11,Dopathyl 160 mg,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,160mg,hộp 3 vỉ x 10 viên nén dài bao phim,Công ty cổ phần xuất nhập khẩu y tế Domesco,Việt Nam
153,VD-14876-11,Fioter,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,Hộp 1 lọ 30 viên nén nhai,Công ty TNHH dược phẩm Vellpharm Việt Nam,Việt Nam
154,VD-15585-11,Hafenthyl 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,"Hộp 3 vỉ, 10 vỉ x 10 viên nang",Công ty TNHH Ha san - Dermapharm,Việt Nam
155,VD-16996-12,Defechol 100,40.553,Fenofibrate,Fenofibrat,1.01,Uống,100mg,"Hộp 5 vỉ x 10 viên, viên nang, uống",Công ty Cổ phần Dược phẩm trung ương I - Pharbaco,Việt Nam
156,VD-16997-12,Defechol 200,40.553,Fenofibrate,Fenofibrat,1.01,Uống,200mg,"Hộp 3 vỉ x 10 viên, viên nang, uống",Công ty Cổ phần Dược phẩm trung ương I - Pharbaco,Việt Nam
157,VD-16998-12,Defechol 300,40.553,Fenofibrate,Fenofibrat,1.01,Uống,300mg,"Hộp 3 vỉ x 10 viên, viên nang, uống",Công ty Cổ phần Dược phẩm trung ương I - Pharbaco,Việt Nam
158,VD-17407-12,Fenocor 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100 mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm Cửu Long,Việt Nam
159,VD-17442-12,Hemfibrat,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300 mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
160,VD-18105-12,Hafenthyl 200,40.553,Fenofibrat,Fenofibrat miconised,1.01,Uống,200 mg,Hộp 3 vỉ x 10 viên,Công ty TNHH Ha san - Dermapharm,Việt Nam
161,VD-18106-12,Hafenthyl Supra 160mg,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,160 mg,Hộp 3 vỉ x 10 viên,Công ty TNHH Ha san - Dermapharm,Việt Nam
162,VD-18493-13,Becopanthyl,40.553,Fenofibrat,Fenofibrat.,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Công ty liên doanh Meyer - BPC,Việt Nam
163,VD-18594-13,Fenoflex,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,160mg,"Hộp 1 vỉ, 3 vỉ x 10 viên",Công ty TNHH United International Pharma,Việt Nam
164,VD-18962-13,Lipisans 160,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm IMEXPHARM,Việt Nam
165,VD-19502-13,TV.Fenofibrat,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm TV. Pharm,Việt Nam
166,VD-19601-13,Zolasdon 200 mg,40.553,Fenofibrat,Fenofibrat.,1.01,Uống,200mg,"Hộp 3, 6, 10 vỉ x 10 viên, chai 30, 60, 100, 250, 500 viên",Công ty cổ phần sản xuất -  thương mại Dược phẩm Đông Nam,Việt Nam
167,VD-19792-13,Lipidcare,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,hộp 3 vỉ x 10 viên,Công ty TNHH Dược phẩm Shinpoong Daewoo,Việt Nam
168,VD-20062-13,Dopathyl 200 mg,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,200mg,hộp 3 vỉ x 10 viên,Công ty cổ phần xuất nhập khẩu y tế Domesco,Việt Nam
169,VD-20455-14,Amefibrex 300,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,300mg,Hộp 5 vỉ x 4 viên ; hộp 5 vỉ x 6 viên; hộp 4 vỉ x 7 viên,Công ty Cổ phần Dược phẩm OPV,Việt Nam
170,VD-21124-14,Fenbrat,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,Công ty TNHH một thành viên dược phẩm và sinh học y tế,Việt Nam
171,VD-21574-14,Fenoflex,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,"Hộp 1 vỉ, 3 vỉ x 10 viên",Công ty TNHH United International Pharma,Việt Nam
172,VD-22070-14,Fenofibrat 100 - US,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên,Công ty TNHH US Pharma USA,Việt Nam
173,VD-22071-14,Fenofibrat 300-US,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,Công ty TNHH US Pharma USA,Việt Nam
174,VD-22191-15,Amefibrex 200,40.553,Fenofibrat,"Fenofibrat (dưới dạng vi hạt chứa 66,66% (kl/kl)fenofibrat)",1.01,Uống,200mg,Hộp 7 vỉ x 4 viên; hộp 4 vỉ x 7 viên,Công ty cổ phần dược phẩm OPV,Việt Nam
175,VD-22780-15,Fenofibrat 200,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm 2/9 - Nadyphar,Việt Nam
176,VD-22958-15,Amefibrex 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 5 vỉ x 4 viên; hộp 5 vỉ x 6 viên; hộp 7 vỉ x 4 viên,Công ty cổ phần dược phẩm OPV,Việt Nam
177,VD-23330-15,Hafenthyl 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,"Hôp 3 vỉ, 10 vỉ x 10 viên",Công ty TNHH Ha san-Dermapharm,Việt Nam
178,VD-4946-08,Lipidcare 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,"hộp 3 vỉ, 6 vỉ x 10 viên nang",Công ty dược phẩm Shinpoong Daewoo Việt Nam TNHH,Việt Nam
179,VD-4947-08,Lipidcare 300 mg,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300 mg,"hộp 3 vỉ, 10 vỉ x 10 viên nang",Công ty dược phẩm Shinpoong Daewoo Việt Nam TNHH,Việt Nam
180,VD-5658-08,Fenbrat - 300mg,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nang,Công ty TNHH một thành viên dược phẩm và sinh học y tế,Việt Nam
181,VD-7150-09,Lifemore - 200 mg,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200 mg,"hộp 10 vỉ x 10 viên, chai 100 viên nang",Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
182,VD-7306-09,TV. Fenofibrat 100mg,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên nang cứng,Công ty cổ phần dược phẩm TV.Pharm,Việt Nam
183,VD-8070-09,Lipenthyl 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 4 vỉ x 12 viên nang,Công ty cổ phần dược phẩm Trường Thọ,Việt Nam
184,VD-8326-09,Fenbrat 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên nang,Công ty TNHH một thành viên dược phẩm và sinh học y tế,Việt Nam
185,VD-8527-09,Fenorate 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 5 vỉ x 10 viên nang,Công ty Cổ phần Dược phẩm Bos Ton Việt Nam,Việt Nam
186,VD-8726-09,Lipirate 160,40.553,Fenofibrat,Fenofibrat,1.01,Uống,160mg,Hộp 5 vỉ x 10 viên nang cứng,Công ty cổ phần dược phẩm Sao Kim,Việt Nam
187,VD-8742-09,Savi Fenofibrat 100M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
188,VD-8743-09,Savi Fenofibrat 200M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
189,VD-8744-09,Savi Fenofibrat 300M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm SAVI (SAVIPHARM),Việt Nam
190,VD-9087-09,Hafenthyl 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,"Hộp 3 vỉ, 10 vỉ x 10 viên nang cứng",Công ty TNHH Ha san - Dermapharm,Việt Nam
191,VD-9414-09,Glotyl 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm Glomed,Việt Nam
192,VD-9415-09,Glotyl 200M,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm Glomed,Việt Nam
193,VD-9416-09,Glotyl 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Họp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm Glomed,Việt Nam
194,VD-9545-09,Lipirate 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nang,Công ty cổ phần dược phẩm Sao Kim,Việt Nam
195,VD-9546-09,Lipirate 300,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên nén bao phim,Công ty cổ phần dược phẩm Sao Kim,Việt Nam
196,VD-9572-09,Lidenthyl 200,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 4 vỉ x 12 viên nang,Công ty cổ phần dược phẩm Trường Thọ,Việt Nam
197,VN-10607-10,Fegenor 200mg,40.553,Fenofibrat,Micronized Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Laboratoires Leurquin Mediolanum S.A,France
198,VN-11545-10,Fenochol 200mg Capsule,40.553,Fenofibrat,Micronized Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Cadila Healthcare Ltd.,India
199,VN-11546-10,Fenochol 67 capsule,40.553,Fenofibrat,Micronized Fenofibrate,1.01,Uống,67mg,Hộp 6 vỉ x 10 viên,Cadila Healthcare Ltd.,India
200,VN-12380-11,Fibrovas,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 10 vỉ x 10 viên,Pulse Pharmaceuticals Pvt. Ltd.,India
201,VN-13224-11,Lipanthyl Supra NT 145mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,145mg,Hộp 3 vỉ x 10 viên,Fournier Laboratoires Ireland Limited,Ireland
202,VN-14260-11,Colestrim,40.553,Fenofibrat,Fenofibrate (Micronised),1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Inventia Healthcare Pvt. Ltd.,India
203,VN-14278-11,Mipartor,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Micro Labs Limited,India
204,VN-14832-12,Lipicard,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 4 vỉ x 7 viên,USV Ltd.,India
205,VN-15514-12,Lipanthyl Supra 160mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Recipharm Fontaine,France
206,VN-16469-13,Lipidstop 200,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 2vỉ x 10viên,The Acme Laboratories Ltd.,Bangladesh
207,VN-16795-13,Redlip,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Inventia Healthcare Private Ltd.,India
208,VN-17205-13,Lipanthyl 200M,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên; Hộp 2 vỉ x 15 viên,Recipharm Fontaine,France
209,VN-17451-13,Fenosup Lidose,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,SMB Technology S.A.,Belgium
210,VN-17958-14,Fenogetz capsules 200mg,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 2 vỉ x 5 viên,Getz Pharma (Pvt) Ltd.,Pakistan
211,VN-18373-14,Colestrim,40.553,Fenofibrat,Fenofibrat (dưới dạng fenofibrate nanonized),1.01,Uống,145mg,Hộp 3 vỉ x 10 viên,Ethypharm,France
212,VN-18477-14,Lipicard-160,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,160mg,Hộp 4vỉ x 7viên,USV Ltd.,India
213,VN-18801-15,Noles,40.553,Fenofibrat,Fenofibrat,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Actavis International Ltd,Malta
214,VN-19183-15,Fibrofin-145,40.553,Fenofibrat,Fenofibrate,1.01,Uống,145mg,Hộp 3 vỉ x 10 viên,Hetero Labs Limited,India
215,VN-5634-08,Lipanthyl 100mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,100mg,Hộp 4 vỉ x 12 viên,Recipharm Fontaine,France
216,VN-5798-08,Lipicard-160,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 4vỉ x 7viên,USV Ltd.,India
217,VN-6210-08,"Lipanthyl 200M, capsules",40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên; Hộp 2 vỉ x 15 viên,Recipharm Fontaine,France
218,VN-6680-08,Fenohexal 200,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Salutas Pharma GmbH,Germany
219,VN-7174-08,Fenogetz 200mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 2 vỉ x 5 viên,Getz Pharma (Pvt) Ltd.,Pakistan
220,VN-7175-08,Fenogetz 67mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,67mg,Hộp 3 vỉ x 10 viên,Getz Pharma (Pvt) Ltd.,Pakistan
221,VN-7212-08,Fenohexal 160mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 3 vỉ x 10 viên,Salutas Pharma GmbH,Germany
222,VN-7723-09,Lipanthyl 300mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,Recipharm Fontaine,France
223,VN-7920-09,Fenohexal 100,40.553,Fenofibrat,Fenofibrate,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên,PT Sandoz Indonesia,Indonesia
224,VN-7921-09,Fenohexal 300,40.553,Fenofibrat,Fenofibrate,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,PT. Vitabiotics Healthcare,Indonesia
225,VN-7965-09,Deltalip 200,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ 10 viên,"Delta Generic Formulation Pvt., Ltd.",India
226,VN-8303-09,Synpid Capsules 100mg,40.553,Fenofibrat,Fenofibrate,1.01,Uống,100mg,Hộp 10 vỉ x 10 viên,Synmosa Biopharma Corporation,Taiwan
227,VN-9577-10,Triglo,40.553,Fenofibrat,Fenofibrate,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Square Pharmaceuticals Ltd,Bangladesh
228,VD-24502-16,Fenofibrat 300 meyer,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,Công ty Liên doanh Meyer - BPC.,Việt Nam
229,VD-24580-16,Lifentyn,40.553,Fenofibrat,Fenofibrat,1.01,Uống,300mg,Hộp 3 vỉ x 10 viên,Công ty TNHH một thành viên dược phẩm và sinh học y tế,Việt Nam
230,VD-24892-16,Fenbrat 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần dược phẩm và sinh học y tế,Việt Nam
231,VD-24826-16,Fenofib 200,40.553,Fenofibrat,Fenofibrat (dưới dạng vi hạt chứa 66% (kl/kl) fenofibrat) ,1.01,Uống,200mg,Hộp 7 vỉ x 4 viên; hộp 4 vỉ x 7 viên,Công ty Cổ phần Dược phẩm OPV,Việt Nam
232,VD-24742-16,Fenofibate 300 A.T,40.553,Fenofibrat,Fenofibrat ,1.01,Uống,300mg,"Hộp 2 vỉ, hộp 3 vỉ, hộp 5 vỉ, hộp 10 vỉ x 10 viên. Hộp 1 chai 30 viên, hộp 1 chai 60 viên, hộp 1 chai 100 viên",Công ty Cổ phần Dược phẩm An Thiên,Việt Nam
233,VD-24761-16,Glotyl 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 3 vỉ x 10 viên; Hộp 10 vỉ x 10 viên; Hộp 30 vỉ x 10 viên,Công ty cổ phần dược phẩm Glomed,Việt Nam
234,VD-25235-16,Ocefib 100,40.553,Fenofibrat,Fenofibrat,1.01,Uống,100mg,Hộp 5 vỉ x 4 viên; hộp 7 vỉ x 4 viên; hộp 5 vỉ x 6 viên,Công ty Cổ phần Dược phẩm OPV,Việt Nam
235,VD-25429-16,Fenofibrat 200 mg,40.553,Fenofibrat,Fenofibrat micronised,1.01,Uống,200mg,Hộp 3 vỉ x 10 viên,Công ty cổ phần xuất nhập khẩu y tế Domesco,Việt Nam
236,VN-5599-10,Stanlip,40.553,Fenofibrat,Fenofibrate,1.01,Uống,160mg,Hộp 10 vỉ x 10 viên,Ranbaxy Laboratories Ltd.,India
237,VD-10703-10,Fenofibrate 200mg,40.553,Fenofibrat,Fenofibrat micronised ,1.01,Uống,200mg,hộp 3 vỉ x 10 viên nang,Công ty cổ phần xuất nhập khẩu y tế Domesco,Việt Nam
238,VD-25748-16,Fenofib 100,40.553,"Fenofibrat
",Fenofibrat ,1.01,Uống,100mg,Hộp 5 vỉ x 4 viên; hộp 7 vỉ x 4 viên; hộp 5 vỉ x 6 viên,Công ty Cổ phần Dược phẩm OPV,Việt Nam
239,VD-25753-16,Ocefib 200,40.553,"Fenofibrat
",Fenofibrat (dưới dạng vi hạt chứa 66% (kl/kl) fenofibrat) ,1.01,Uống,200mg,Hộp 7 vỉ x 4 viên; hộp 4 vỉ x 7 viên,Công ty Cổ phần Dược phẩm OPV,Việt Nam
